,title,brand,colour,connectivityTechnology,specialFeature,movementDetectionTechnology,numberOfItems,price,weight,country
61,HP Bluetooth Mouse 250/4.2 Bluetooth connectivity/ Adjustable DPI Upto 3600/15-month Long Battery Life and Safe encryption Technology/1 Year Warranty/ Black       ,HP,Black,,"Wireless, Bluetooth, Ergonomic, Optical",Optical,,850.,70 g ,
62,"Redgear A-17 Gaming Mouse with Upto 6400 DPI, RGB Lighting and Braided Cable(Black)       ",Redgear,Black,,,,,699.,130 g ,China 
63,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop       ",Logitech,Red,,Wireless,Optical,,699.,59.9 g ,China 
64,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop       ",Amazon Basics,Black,USB,"Wireless, Lightweight, Ergonomic Design",Optical,,499.,115 g ,India 
65,"Lenovo 130 Wireless Compact Mouse, 1K DPI Optical sensor, 2.4GHz Wireless NanoUSB, 10m range, 3button(left,right,scroll) upto 3M left/right clicks, 10 month battery, Ambidextrous, Ergonomic GY51C12380       ",Lenovo,Black,USB,"Wireless, Ergonomic Design",Optical,,499.,82 g ,China 
66,"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wireless Nano USB, 3-Button (Left,Right,Scroll) Upto 8M Left/Right & 100K Scroll clicks & 1yr Battery, Ambidextrous, Ergonomic GY50R91293       ",Lenovo,Black,,"Wireless, Ergonomic Design",Optical,,628.,84 g ,China 
67,"ASUS WT200 Wireless Mouse, Blue       ",ASUS,Blue,Wireless,"Wireless, Ergonomic Design",Optical,,599.,73 g ,China 
68,"Ant Value FKAPU03 1000 DPI Wireless Mouse - Black, Silver       ",,,,,,,269.,,
69,"HP 200 USB Wireless Mouse with 1000 DPI optical sensor, 2.4 GHz wireless connectivity, built-in scrolling and ambidextrous design.3 years warranty(Black)       ",HP,Black,,"Wireless, Ergonomic Design",Optical,,715.,200 g ,China 
70,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Red       ",Logitech,RED,,"Wireless, Optical",Optical,,749.,77 g ,China 
71,"ZEBRONICS Zeb-Velocity Type C Optical Mouse with High Precision,4 Buttons and Type C Interface       ",ZEBRONICS,,USB,,Optical,,299.,78 g ,China 
72,"Logitech M90 Wired USB Mouse, 3 yr Warranty, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black       ",Logitech,Dark Grey,Wired,"Wired, Optical, Ambidextrous",Optical,,358.,82 g ,China 
73,Razer DeathAdder Essential Wired Gaming Mouse I Single-Color Green Lighting I 6400DPI Optical Sensor- Black - RZ01-03850100-R3M1       ,,,,,,,"1,349.",134 g ,China 
74,"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wireless Nano USB, 3-Button (Left,Right,Scroll) Upto 8M Left/Right & 100K Scroll clicks & 1yr Battery, Ambidextrous, Ergonomic GY50R91293       ",Lenovo,Black,,"Wireless, Ergonomic Design",Optical,,628.,84 g ,China 
75,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.       ",Dell,Black,,Wireless,Optical,,249.,120 g ,China 
76,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black       ",Logitech,Black,,,,1,595.,68 Grams ,China 
77,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop       ",Logitech,Grey,,Wireless,Optical,,799.,83.9 g ,China 
78,Dell MS3320W-Black Dual Connectivity 3-Button Bluetooth 5.0 & Wireless 2.4Ghz Mouse with 3 Years Advance Exchange Warranty & 36M Battery Life.       ,Dell,Black,wireless,"Wireless, Bluetooth, Optical",Optical,,"1,299.",160 g ,China 
79,"RPM Euro Games USB Wireless Gaming Mouse Rechargeable 500 mAh Battery DPI Upto 3200 6 Color RGB Lights Rubber Coated Mice, Black       ",RPM Euro Games,Black,USB,"Wireless, Rechargeable, Soundless, LED Lights, Water Resistant",Optical,,649.,96 g ,China 
80,Zebronics Zeb-Shine Wireless Optical Mouse (Black)       ,ZEBRONICS,Black,,Wireless,Optical,,329.,190 g ,China 
81,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black       ",Logitech,Black,,,,1,595.,68 Grams ,China 
82,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop       ",Logitech,Grey,,Wireless,Optical,,799.,83.9 g ,China 
83,"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wireless Nano USB, 3-Button (Left,Right,Scroll) Upto 8M Left/Right & 100K Scroll clicks & 1yr Battery, Ambidextrous, Ergonomic GY50R91293       ",Lenovo,Black,,"Wireless, Ergonomic Design",Optical,,628.,84 g ,China 
84,"Lenovo 600 Bluetooth 5.0 Silent Mouse: Compact, Portable, Dongle-Free Multi-Device connectivity with Microsoft Swift Pair | 3-Level Adjustable DPI up to 2400 | Battery Life: up to 1 yr       ",Lenovo,Grey,,"Wireless, Portable, Soundless",Optical,,"1,479.",61 g ,China 
85,"Lenovo 130 Wireless Compact Mouse, 1K DPI Optical sensor, 2.4GHz Wireless NanoUSB, 10m range, 3button(left,right,scroll) upto 3M left/right clicks, 10 month battery, Ambidextrous, Ergonomic GY51C12380       ",Lenovo,Black,USB,"Wireless, Ergonomic Design",Optical,,499.,82 g ,China 
86,"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Graphite       ",Logitech,Graphite,,"Wireless, Portable, Soundless",Optical,,"1,594.",100 g ,China 
87,"Amkette Hush Pro Acura 2.4 Ghz Silent Switch Wireless Mouse with Ergonomic Design, High Precision 3 DPI Settings, Smart Auto Sleep Function and Mouse On/Off Switch (Black)       ",Amkette,Black,,"Wireless, Soundless, Ergonomic Design",Optical,,349.,50 g ,China 
88,"HP USB X500 Wired Optical Sensor Mouse 3 Buttons Windows 8 Supported, Black (E5C12AA)       ",HP,Black,,optical,Optical,,495.,140 g ,China 
89,"Amkette Hush Pro Acura 2.4 Ghz Silent Switch Wireless Mouse with Ergonomic Design, High Precision 3 DPI Settings, Smart Auto Sleep Function and Mouse On/Off Switch (Grey)       ",Amkette,Grey,,"Wireless, Soundless, Ergonomic Design",Optical,,331.,50 g ,China 
90,"Verilux® Wireless Mouse Rechargeable, Upgraded Ultra Slim 2.4G Silent Cordless Mouse Computer Mice 1600 DPI with USB Receiver for Laptop PC Mac MacBook, Windows (Black+Battery Level Visible)       ",Verilux,Black+Battery Level Visible,,"Wireless, Soundless, Rechargeable",Optical,,749.,122 g ,China 
91,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop       ",Amazon Basics,Black,USB,"Wireless, Lightweight, Ergonomic Design",Optical,,499.,115 g ,India 
92,"Lenovo 130 Wireless Compact Mouse, 1K DPI Optical sensor, 2.4GHz Wireless NanoUSB, 10m range, 3button(left,right,scroll) upto 3M left/right clicks, 10 month battery, Ambidextrous, Ergonomic GY51C12380       ",Lenovo,Black,USB,"Wireless, Ergonomic Design",Optical,,499.,82 g ,China 
93,"Ant Esports GM80 USB RGB Wired 6 Programmable Buttons, 3200 DPI Adjustable, Optical Gamer Gaming Mice Gaming Mouse with Multicolour LED Lights - Black       ",Ant Esports,Black,,"Lightweight, LED Lights",Optical,,327.,100 g ,China 
94,"Ambrane SliQ Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, 3 Keys with Silent Clicks, 1200 DPI, Comfortable Grip (Orchid Purple)       ",Ambrane,Purple,,"Wireless, Portable, Lightweight, Soundless",Optical,,299.,55 g ,China 
95,"HP 200 Wireless Mouse/2.4GHz Wireless Connection /2 AAA Batteries/3 Years RTB Warranty, 2HU84AA(Pike Silver)       ",HP,Pike Silver,,Wireless,Optical,,649.,110 g ,China 
96,"Logitech Signature M650 L Full Size Wireless Mouse - for Large Sized Hands, 2-Year Battery, Silent Clicks, Customisable Side Buttons, Bluetooth, Multi-Device Compatibility - Graphite       ",Logitech,Graphite,,"Wireless, Ergonomic Design",,,"2,795.",111 g ,China 
97,"Amazon Basics Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, for PC/ Mac/ Laptop/ Tablet (Black)       ",Amazon Basics,Black,USB,Wireless,Optical,,529.,68 g ,Hong Kong 
98,Ant Esports GM270W Optical Wired Gaming Mouse with 7 Programmable Buttons and 3200 Adjustable DPI - Black - USB       ,Ant Esports,B,,"Ergonomic Design, LED Lights",Optical,,399.,340 g ,China 
99,Dell MS5120W-Black Pro Wireless Dual Connectivity Mouse (Bluetooth 5.0/Wireless 2.4G) with Programmable Button and 3Y Advance Exchange Warranty .       ,Dell,Black,,Wireless,Optical,,"1,529.",160 g ,India 
100,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Blue       ",Logitech,BLUE,,"Wireless, Optical",Optical,,749.,77 g ,China 
101,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.       ",Dell,Black,,Wireless,Optical,,249.,120 g ,China 
102,"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wireless Nano USB, 3-Button (Left,Right,Scroll) Upto 8M Left/Right & 100K Scroll clicks & 1yr Battery, Ambidextrous, Ergonomic GY50R91293       ",Lenovo,Black,,"Wireless, Ergonomic Design",Optical,,628.,84 g ,China 
103,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black       ",Logitech,Black,,,,1,595.,68 Grams ,China 
104,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop       ",Logitech,Grey,,Wireless,Optical,,799.,83.9 g ,China 
105,"Logitech MX Master 2S Wireless Mouse, Multi-Device, Bluetooth or 2.4GHz Wireless with USB Unifying Receiver, 4000 DPI Any Surface Tracking, 7 Buttons, Fast Rechargeable, Laptop/PC/Mac/iPad OS - Black       ",Logitech,Graphite,,"Wireless, Rechargeable",,,"6,499.",145 g ,China 
106,HP Z3700 Wireless Optical Mouse with USB Receiver and 2.4GHz Wireless Connection/ 1200DPI / 16 Months Long Battery Life /Ambidextrous and Slim Design (Modern Gold)       ,HP,Modern Gold,,Charging Port,Optical,,899.,50 g ,China 
107,"Lenovo 130 Wireless Compact Mouse, 1K DPI Optical sensor, 2.4GHz Wireless NanoUSB, 10m range, 3button(left,right,scroll) upto 3M left/right clicks, 10 month battery, Ambidextrous, Ergonomic GY51C12380       ",Lenovo,Black,USB,"Wireless, Ergonomic Design",Optical,,499.,82 g ,China 
108,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - White       ",Logitech,OFFWHITE,,"Wireless, Soundless",Optical,,749.,75 g ,China 
109,"Offbeat® - DASH 2.4GHz Wireless + Bluetooth 5.1 Mouse, Multi-Device Dual Mode Slim Rechargeable Silent Click Buttons Wireless Bluetooth Mouse, 3 Adjustable DPI, Works on 2 devices at the same time with a switch button for Windows/Mac/Android/Ipad/Smart TV       ",Offbeat,Black,,"Wireless, Portable, Soundless, Ergonomic Design, Rechargeable, LED Lights",Optical,,"1,099.",105 g ,China 
110,"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Off White       ",Logitech,Off White,,"Wireless, Portable, Soundless",Optical,,"1,594.",100 g ,China 
111,"ZEBRONICS Cozy 6 Button Vertical USB Gaming Mouse with 3200 DPI max, 1.8m Braided Cable, LED Lights, high Resolution Sensor, Rubber Finish, Ergonomic Design and Plug Play Usage       ",,,,,,,,,
112,"Logitech M350 Pebble Wireless Mouse with Bluetooth or 2.4 GHz Receiver, Silent, Slim Computer Mouse with Quiet Clicks for Laptop, Notebook, iPad, PC and Mac - Sand       ",Logitech,Sand,,"Wireless, Portable, Soundless",Optical,,"1,595.",100 g ,China 
113,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop       ",Amazon Basics,Black,USB,"Wireless, Lightweight, Ergonomic Design",Optical,,499.,115 g ,India 
